"","Scientific.Name","Latitude","Longitude","Country"
"1","Adelges tsugae",39.852901,-77.533867,"US"
"2","Adelges tsugae",41.98527,-74.083019,"US"
"3","Adelges tsugae",42.445464,-71.0758,"US"
"4","Adelges tsugae",42.673367,-77.945,"US"
"5","Adelges tsugae",36.399297,-80.284184,"US"
"6","Adelges tsugae",43.245032,-77.488115,"US"
"7","Adelges tsugae",43.127309,-77.481598,"US"
"8","Adelges tsugae",42.449763,-71.081397,"US"
"9","Adelges tsugae",39.676853,-76.768638,"US"
"10","Adelges tsugae",37.994649,-78.507167,"US"
"11","Adelges tsugae",37.995721,-78.508564,"US"
"12","Adelges tsugae",35.184436,-83.442806,"US"
"13","Adelges tsugae",37.995058,-78.506076,"US"
"14","Adelges tsugae",37.995243,-78.506704,"US"
"15","Adelges tsugae",39.473755,-79.041183,"US"
"16","Adelges tsugae",42.631666,-77.363229,"US"
"17","Adelges tsugae",43.171596,-77.416667,"US"
"18","Adelges tsugae",42.532263,-72.3058,"US"
"19","Adelges tsugae",43.235014,-77.560622,"US"
"20","Adelges tsugae",40.536999,-79.943857,"US"
"21","Adelges tsugae",35.519252,-83.311951,"US"
"22","Adelges tsugae",37.275775,-80.464375,"US"
"23","Adelges tsugae",40.126433,-77.679575,"US"
"24","Adelges tsugae",42.619213,-77.998742,"US"
"25","Adelges tsugae",35.514678,-82.540047,"US"
"26","Adelges tsugae",42.530992,-77.856431,"US"
"27","Adelges tsugae",35.201154,-82.616757,"US"
"28","Adelges tsugae",42.594658,-78.040536,"US"
"29","Adelges tsugae",42.689568,-77.93669,"US"
"30","Adelges tsugae",42.691297,-77.94504,"US"
"31","Adelges tsugae",42.580978,-78.048792,"US"
"32","Adelges tsugae",42.680878,-77.942568,"US"
"33","Adelges tsugae",42.671767,-77.96742,"US"
"34","Adelges tsugae",42.67724,-77.964703,"US"
"35","Adelges tsugae",36.536922,-81.420344,"US"
"36","Adelges tsugae",42.608931,-78.904027,"US"
"37","Adelges tsugae",38.909016,-76.964301,"US"
"38","Adelges tsugae",38.758144,-78.215358,"US"
"39","Adelges tsugae",42.455242,-79.337608,"US"
"40","Adelges tsugae",35.894708,-79.038436,"US"
"41","Adelges tsugae",40.241741,-75.338433,"US"
"42","Adelges tsugae",42.44255,-71.081725,"US"
"43","Adelges tsugae",42.320966,-73.254566,"US"
"44","Adelges tsugae",42.062418,-80.169358,"US"
"45","Adelges tsugae",40.204705,-75.399668,"US"
"46","Adelges tsugae",43.143146,-77.513112,"US"
"47","Adelges tsugae",37.346507,-80.367998,"US"
"48","Adelges tsugae",38.1657,-78.7453,"US"
"49","Adelges tsugae",39.32989,-82.098907,"US"
"50","Adelges tsugae",35.138588,-82.682198,"US"
"51","Adelges tsugae",36.209312,-81.689443,"US"
"52","Adelges tsugae",38.864716,-76.11675,"US"
"53","Adelges tsugae",42.625745,-72.421053,"US"
"54","Adelges tsugae",42.448453,-71.100839,"US"
"55","Adelges tsugae",40.51751,-79.820779,"US"
"56","Adelges tsugae",35.908195,-81.88665,"US"
"57","Adelges tsugae",37.755992,-83.661505,"US"
"58","Adelges tsugae",43.24493,-77.488045,"US"
"59","Adelges tsugae",39.918446,-77.435806,"US"
"60","Adelges tsugae",39.642353,-79.827095,"US"
"61","Adelges tsugae",42.615851,-70.778536,"US"
"62","Adelges tsugae",42.34457,-73.30989,"US"
"63","Adelges tsugae",38.901214,-76.94144,"US"
"64","Adelges tsugae",41.085712,-80.677143,"US"
"65","Adelges tsugae",42.676475,-72.383388,"US"
"66","Adelges tsugae",42.687427,-73.237238,"US"
"67","Adelges tsugae",42.687427,-73.237238,"US"
"68","Adelges tsugae",42.422558,-71.214178,"US"
"69","Adelges tsugae",42.445358,-79.32943,"US"
"70","Adelges tsugae",38.947931,-77.076131,"US"
"71","Adelges tsugae",40.521574,-79.820629,"US"
"72","Adelges tsugae",36.941492,-84.214638,"US"
"73","Adelges tsugae",39.544528,-77.462417,"US"
"74","Adelges tsugae",42.547867,-73.87703,"US"
"75","Adelges tsugae",38.916379,-77.062041,"US"
"76","Adelges tsugae",42.317005,-73.253832,"US"
"77","Adelges tsugae",42.304688,-73.250445,"US"
"78","Adelges tsugae",42.686388,-73.234106,"US"
"79","Adelges tsugae",37.510159,-79.521976,"US"
"80","Adelges tsugae",39.649308,-79.971083,"US"
"81","Adelges tsugae",40.932452,-80.318481,"US"
"82","Adelges tsugae",40.710525,-79.507933,"US"
"83","Adelges tsugae",40.710828,-79.50595,"US"
"84","Adelges tsugae",35.003017,-85.352142,"US"
