GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS802604633	2022-09-09 18:23:02.858805	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Choluteca	HN-CH							La Quebrada, Portillo Grande(La Botija) (13.323, -86.843)	L9888628	P	13.3234013	-86.8428748	2019-09-06	16:48:00	obsr805651	S59590869	Stationary	P21	EBIRD	200			3	1	G4492801	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS812396003	2022-09-09 18:23:02.782544	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Choluteca	HN-CH							La Quebrada, Portillo Grande(La Botija) (13.323, -86.843)	L9888628	P	13.3234013	-86.8428748	2019-09-06	16:48:00	obsr946233	S60316589	Stationary	P21	EBIRD	200			3	1	G4492801	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS820645259	2022-09-09 18:23:02.782544	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Choluteca	HN-CH							La Quebrada, Portillo Grande(La Botija) (13.323, -86.843)	L9888628	P	13.3234013	-86.8428748	2019-09-06	16:48:00	obsr964374	S60913190	Stationary	P21	EBIRD	200			3	1	G4492801	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS807257045	2019-10-03 16:27:22	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Choluteca	HN-CH							(13.3755,-86.9390)	L9934962	P	13.3755060	-86.9390040	2019-09-19	09:00:00	obsr143555	S59938586	Traveling	P22	EBIRD	60	0.435		3	1	G4523125	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS807381927	2020-05-13 18:35:57	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Choluteca	HN-CH							(13.3755,-86.9390)	L9934962	P	13.3755060	-86.9390040	2019-09-19	09:00:00	obsr948000	S59947253	Traveling	P22	EBIRD	60	0.435		3	1	G4523125	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS818782430	2020-10-18 10:06:35	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Choluteca	HN-CH							AUM La Botija—Cerro el Aguila	L7726711	H	13.3261530	-86.8125057	2019-10-19	05:52:00	obsr197531	S60780818	Traveling	P22	EBIRD	60	0.878		3	1	G4599337	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS818782502	2020-10-18 10:06:35	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Choluteca	HN-CH							AUM La Botija—Cerro el Aguila	L7726711	H	13.3261530	-86.8125057	2019-10-19	05:52:00	obsr143555	S60780820	Traveling	P22	EBIRD	60	0.878		3	1	G4599337	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS818782466	2020-10-18 10:06:35	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Choluteca	HN-CH							AUM La Botija—Cerro el Aguila	L7726711	H	13.3261530	-86.8125057	2019-10-19	05:52:00	obsr948000	S60780819	Traveling	P22	EBIRD	60	0.878		3	1	G4599337	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS684793463	2023-04-25 14:59:10.058438	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Comayagua	HN-CM							Montecillos - Sector Potrerillos	L7473153	P	14.5343784	-87.8940153	2018-11-24	06:49:00	obsr776711	S50585728	Traveling	P22	EBIRD	346	2.000		14	1	G3632749	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS679769550	2023-04-25 14:59:09.292638	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Comayagua	HN-CM							Reserva Biológica Montecillos--Sector Potrerillos	L6822980	H	14.5320437	-87.9077053	2018-11-24	06:49:00	obsr546404	S50185451	Traveling	P22	EBIRD	346	2.000		14	1	G3632749	0	1	0		Día parcialmente soleado. Bosque mixto, dominancia liquidambar, pasando por fincas de café a través de la calle principal a la par de una quebrada. 		
URN:CornellLabOfOrnithology:EBIRD:OBS683653448	2023-04-25 14:59:10.083132	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Comayagua	HN-CM							Montecillos - Sector Potrerillos	L7473153	P	14.5343784	-87.8940153	2018-11-24	06:49:00	obsr989256	S50495273	Traveling	P22	EBIRD	346	2.000		14	1	G3632749	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS715267297	2023-04-25 14:59:14.916459	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Comayagua	HN-CM							Reserva Natural Privada Piedemonte	L7955003	H	14.5362902	-87.8628008	2019-02-24	08:06:00	obsr546404	S53115482	Traveling	P22	EBIRD	217	1.835		4	1	G3891929	0	1	0		Día parcialmente nublado, poco viento,  bosque predominante roble, pino, liquidambar, cultivo café,  cítricos. 1400 msnm.		
URN:CornellLabOfOrnithology:EBIRD:OBS715017846	2023-04-25 14:59:15.100721	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Comayagua	HN-CM							Reserva Natural Privada Piedemonte	L7955003	H	14.5362902	-87.8628008	2019-02-24	08:06:00	obsr1140115	S53093206	Traveling	P22	EBIRD	217	1.835		4	1	G3891929	0	1	0		Día parcialmente nublado, poco viento,  bosque predominante roble, pino, liquidambar, cultivo café,  cítricos. 1400 msnm.		
URN:CornellLabOfOrnithology:EBIRD:OBS465278515	2017-02-12 18:07:07	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Copán	HN-CP							HN-Copán-Santa Rosa De Copan - 14.7770x-88.7397 - Feb 12, 2017, 4:55 PM	L5431443	P	14.7769710	-88.7397490	2017-02-12	07:50:00	obsr197034	S34330169	Traveling	P22	EBIRD	300	9.012		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS586718761	2021-06-26 09:22:09.743494	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Copán	HN-CP							Sendero Ecoforesta-El Salitrillo	L7050354	H	14.8025957	-88.7888009	2018-03-11	06:58:00	obsr517186	S43555982	Traveling	P22	EBIRD_CAMERICA	130	1.400		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS706271134	2019-02-03 19:27:00	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Copán	HN-CP							HN-Copán-San Juan De Opoa (14.7716,-88.7254)	L8551409	P	14.7715730	-88.7254040	2019-02-03	07:40:00	obsr197034	S52341981	Traveling	P22	EBIRD	266	7.304		2	1	G3826712	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS706386771	2019-02-15 11:35:00	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Copán	HN-CP							HN-Copán-San Juan De Opoa (14.7716,-88.7254)	L8551409	P	14.7715730	-88.7254040	2019-02-03	07:40:00	obsr605339	S52351301	Traveling	P22	EBIRD	266	7.304		2	1	G3826712	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS712649614	2019-02-18 14:45:44	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Copán	HN-CP							HN-Copán-San Juan De Opoa (14.7716,-88.7254)	L8551409	P	14.7715730	-88.7254040	2019-02-03	07:40:00	obsr548297	S52888945	Traveling	P22	EBIRD	266	7.304		2	1	G3826712	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS834746452	2019-12-04 13:02:30	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				2					Honduras	HN	Copán	HN-CP							Microcuenca La Hondura bosque pino-encino-liquidambar	L6264575	H	14.7693634	-88.8032198	2019-12-04	06:20:00	obsr546404	S61977602	Traveling	P22	EBIRD	47	0.300		1	1		0	1	0		Día parcialmente nublado		
URN:CornellLabOfOrnithology:EBIRD:OBS720394554	2023-05-18 10:29:21.863565	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	El Paraíso	HN-EP							Finca Las Palmas	L2670339	H	14.0228116	-86.5188199	2019-03-05	05:45:00	obsr495593	S53505763	Stationary	P21	EBIRD	72			1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS883213662	2020-03-24 16:46:56	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Jucuara	L11020884	P	14.2110833	-87.1174722	2017-01-07	07:13:00	obsr1334461	S66175711	Traveling	P22	EBIRD	193	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS883228840	2021-01-06 12:05:35.975695	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Caballerizas	L11021015	P	14.1997778	-87.1215556	2017-01-14	07:20:00	obsr1334461	S66177291	Traveling	P22	EBIRD	185	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS884092170	2021-01-06 12:05:35.944654	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Carretera hacia Uyuca	L11030914	P	14.0398056	-87.0831944	2017-01-22	07:16:00	obsr1334461	S66249265	Traveling	P22	EBIRD	151	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS883211311	2023-05-18 11:44:50.614919	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Granadilla	L11020852	P	14.2056111	-87.1170556	2017-01-07	07:52:00	obsr1334461	S66175508	Traveling	P22	EBIRD	120	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
URN:CornellLabOfOrnithology:EBIRD:OBS883233717	2020-03-24 17:17:45	33518	species	avibase-8A35BFD6	Golden-cheeked Warbler	Setophaga chrysoparia				1					Honduras	HN	Francisco Morazán	HN-FM							Cabot este	L11021067	P	14.0344722	-87.0764167	2017-01-21	06:48:00	obsr1334461	S66177884	Traveling	P22	EBIRD	129	1.000		2	1		0	1	0		Monitoreo no reproductivo de Setophaga chrysoparia en Centroamérica		
